308.0,-254.0,-211.0
346.0,-377.0,-83.0
336.0,-396.0,-63.0
336.0,-396.0,-63.0
307.0,-353.0,-102.0
278.0,-319.0,-154.0
281.0,-278.0,-148.0
179.0,-236.0,-114.0
179.0,-236.0,-114.0
246.0,-194.0,-209.0
322.0,-318.0,-256.0
350.0,-400.0,-183.0
387.0,-328.0,-130.0
387.0,-328.0,-130.0
363.0,-296.0,-115.0
332.0,-233.0,-110.0
318.0,-166.0,-90.0
354.0,-42.0,-207.0
354.0,-42.0,-207.0
208.0,30.0,-235.0
145.0,-80.0,-50.0
602.0,284.0,-76.0
390.0,-95.0,-424.0
390.0,-95.0,-424.0
377.0,-238.0,-145.0
387.0,-307.0,-66.0
329.0,-288.0,-102.0
250.0,-252.0,-191.0
250.0,-252.0,-191.0
312.0,-173.0,-168.0
148.0,-208.0,-25.0
265.0,-98.0,-163.0
395.0,-159.0,-210.0
395.0,-159.0,-210.0
391.0,-307.0,-217.0
365.0,-322.0,-136.0
346.0,-254.0,-96.0
323.0,-164.0,-87.0
323.0,-164.0,-87.0
367.0,-75.0,-143.0
221.0,-4.0,-200.0
177.0,-118.0,-90.0
177.0,-13.0,-209.0
421.0,-13.0,47.0
469.0,-25.0,-88.0
373.0,-135.0,-87.0
352.0,-255.0,-84.0
352.0,-255.0,-84.0
352.0,-255.0,-84.0
361.0,-417.0,-18.0
274.0,-562.0,37.0
317.0,-547.0,77.0
317.0,-547.0,77.0
313.0,-569.0,123.0
301.0,-590.0,150.0
285.0,-607.0,151.0
329.0,-574.0,143.0
329.0,-574.0,143.0
308.0,-605.0,184.0
302.0,-615.0,203.0
318.0,-601.0,203.0
359.0,-543.0,161.0
359.0,-543.0,161.0
370.0,-474.0,121.0
362.0,-417.0,115.0
381.0,-379.0,118.0
420.0,-391.0,143.0
420.0,-391.0,143.0
426.0,-445.0,189.0
413.0,-492.0,208.0
386.0,-548.0,191.0
340.0,-599.0,141.0
340.0,-599.0,141.0
318.0,-586.0,96.0
313.0,-547.0,39.0
293.0,-527.0,-23.0
299.0,-503.0,-58.0
299.0,-503.0,-58.0
375.0,-467.0,-101.0
339.0,-414.0,26.0
308.0,-475.0,9.0
321.0,-494.0,-3.0
321.0,-494.0,-3.0
337.0,-472.0,0.0
365.0,-420.0,-22.0
354.0,-404.0,-54.0
323.0,-428.0,-13.0
323.0,-428.0,-13.0
346.0,-396.0,30.0
402.0,-407.0,82.0
390.0,-503.0,119.0
325.0,-596.0,118.0
325.0,-596.0,118.0
281.0,-625.0,94.0
300.0,-595.0,83.0
311.0,-548.0,42.0
278.0,-533.0,-13.0
278.0,-533.0,-13.0
240.0,-514.0,-70.0
232.0,-491.0,-101.0
333.0,-453.0,-182.0
325.0,-426.0,1.0
325.0,-426.0,1.0
280.0,-467.0,-19.0
305.0,-492.0,-29.0
330.0,-472.0,-10.0
363.0,-407.0,-21.0
