timestamp,ax,ay,az,label,subject_id
1781611464139,4052,-3592,-16860,4,A
1781611464161,1776,-1940,-14276,4,A
1781611464183,-1300,3672,-8964,4,A
1781611464204,-3192,4336,1060,4,A
1781611464226,-11616,32767,25528,4,A
1781611464247,-19004,32767,27376,4,A
1781611464269,-7700,32767,21012,4,A
1781611464291,-1860,24200,12556,4,A
1781611464311,-516,12264,4464,4,A
1781611464333,1812,4760,-3016,4,A
1781611464355,3224,-1252,-12108,4,A
1781611464377,4152,-4556,-16276,4,A
1781611464399,2240,-4184,-17648,4,A
1781611464419,224,-1304,-12032,4,A
1781611464441,-2508,4172,-996,4,A
1781611464464,-11384,30920,21396,4,A
1781611464486,-19796,32767,27976,4,A
1781611464508,-14568,32767,20044,4,A
1781611464529,-2252,24520,13372,4,A
1781611464549,1612,12476,5704,4,A
1781611464572,2076,5528,-3328,4,A
1781611464593,1932,1888,-10192,4,A
1781611464615,2724,-1676,-15772,4,A
1781611464637,2936,-3208,-17480,4,A
1781611464657,1008,-84,-13648,4,A
1781611464679,-48,2600,-5216,4,A
1781611464702,-3976,11332,11100,4,A
1781611464723,-13116,32767,31496,4,A
1781611464745,-19812,32767,23444,4,A
1781611464767,-4992,32767,19424,4,A
1781611464788,1204,16028,10032,4,A
1781611464809,1640,6860,-1224,4,A
1781611464831,1912,3408,-9784,4,A
1781611464852,1632,172,-15492,4,A
1781611464874,1480,-2616,-19576,4,A
1781611464896,-204,-708,-17344,4,A
1781611464917,-1216,1944,-8116,4,A
1781611464938,-3664,8512,5876,4,A
1781611464961,-13976,32767,25728,4,A
1781611464983,-18460,32767,26832,4,A
1781611465003,-5212,32767,22740,4,A
1781611465025,2536,18608,12944,4,A
1781611465046,3396,7568,1220,4,A
1781611465068,508,3608,-9292,4,A
1781611465090,104,240,-17472,4,A
1781611465111,-28,204,-18236,4,A
1781611465133,-728,-288,-17108,4,A
1781611465155,172,-1756,-12872,4,A
1781611465176,-848,2268,832,4,A
1781611465198,-6364,27536,28300,4,A
1781611465220,-32768,32767,12224,4,A
1781611465241,-9436,32767,29544,4,A
1781611465262,-4976,24880,13452,4,A
1781611465284,-1456,9760,2984,4,A
1781611465306,-4164,5980,-9104,4,A
1781611465328,-5748,6212,-16768,4,A
1781611465349,-804,1472,-17108,4,A
1781611465370,900,568,-16400,4,A
1781611465392,1308,1212,-14200,4,A
1781611465414,936,3072,-10444,4,A
1781611465435,1144,3772,1984,4,A
1781611465457,-2276,24992,25204,4,A
1781611465479,-10148,32767,32767,4,A
1781611465501,-9740,32767,24160,4,A
1781611465522,-1880,27984,14504,4,A
1781611465544,72,12236,4664,4,A
1781611465565,1200,4608,-6632,4,A
1781611465587,-1568,2208,-15308,4,A
1781611465609,-992,680,-17196,4,A
1781611465630,-1196,1440,-15828,4,A
1781611465651,416,220,-14808,4,A
1781611465673,1220,476,-9200,4,A
1781611465694,940,3292,4328,4,A
1781611465716,-7684,32767,28480,4,A
1781611465738,-16560,32767,23136,4,A
1781611465760,-5548,32767,18764,4,A
1781611465781,-264,22684,11900,4,A
1781611465803,656,11376,2832,4,A
1781611465824,1096,5300,-5884,4,A
1781611465846,-388,2480,-12188,4,A
1781611465868,528,-248,-15160,4,A
1781611465889,200,-428,-15300,4,A
1781611465911,-184,-536,-13972,4,A
1781611465933,-848,-1020,-9976,4,A
1781611465954,-4324,11280,9680,4,A
1781611465976,-12904,32767,25424,4,A
1781611465997,-16652,32767,13664,4,A
1781611466019,-2592,32767,17168,4,A
1781611466041,-40,21952,12008,4,A
1781611466063,1644,13076,6624,4,A
1781611466084,2508,6272,-372,4,A
1781611466105,208,996,-10432,4,A
1781611466126,-584,364,-15244,4,A
1781611466149,-2592,3584,-15848,4,A
1781611466170,-996,3048,-14060,4,A
1781611466191,388,2728,-10412,4,A
1781611466212,-468,3908,-908,4,A
1781611466235,-5396,29064,20724,4,A
1781611466256,-9484,32767,27404,4,A
1781611466277,-6084,32767,22896,4,A
1781611466299,-2456,32767,16272,4,A
1781611466322,-1480,18660,7184,4,A
1781611466344,1056,3448,-6684,4,A
1781611466366,-724,2480,-13284,4,A
1781611466387,748,-768,-17172,4,A
1781611466408,1028,-176,-16340,4,A
1781611466430,716,-224,-14500,4,A
1781611466452,952,1160,-2924,4,A
1781611466475,-2136,19628,19548,4,A
1781611466495,-11688,32767,28976,4,A
1781611466518,-12124,32767,16664,4,A
1781611466539,-544,24264,13360,4,A
1781611466561,848,14344,4912,4,A
1781611466582,1860,6732,-3232,4,A
1781611466603,1652,540,-10588,4,A
1781611466625,620,1160,-13968,4,A
1781611466646,-2092,2320,-14108,4,A
